,location,lat,long,alt,year,bloom_date,bloom_doy,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,moonphase,icon_partly-cloudy-day,icon_rain,icon_clear-day,icon_cloudy,icon_snow,icon_wind
0,washingtondc,38.885349600000005,-77.03862779999999,0,1981,1981-04-03,93,14.845161290322578,4.038709677419354,9.270967741935483,13.790322580645162,0.9322580645161291,7.122580645161292,-0.9161290322580647,52.01935483870968,1.569225806451613,25.806451612903224,5.242580645161292,,0.0,,33.351612903225806,249.2741935483871,1013.4225806451612,55.82580645161289,22.541935483870958,,,,,0.52,19,8,2,1,0,1
1,washingtondc,38.885349600000005,-77.03862779999999,0,1982,1982-04-07,97,13.648387096774192,3.4935483870967747,8.406451612903227,12.832258064516127,0.18709677419354837,6.34516129032258,-0.33225806451612905,58.74516129032258,2.1677419354838707,54.83870967741935,10.618709677419353,,,,31.24193548387097,198.74193548387095,1018.1225806451614,55.019354838709674,20.135483870967743,,,,,0.5019354838709678,10,17,3,0,0,1
2,washingtondc,38.885349600000005,-77.03862779999999,0,1983,1983-04-07,97,12.703225806451615,5.029032258064516,8.74193548387097,12.048387096774198,2.454838709677419,7.158064516129032,0.6645161290322581,60.483870967741936,4.081741935483871,41.935483870967744,14.78483870967742,,,,22.580645161290324,213.43870967741933,1011.6387096774193,74.95161290322581,18.409677419354843,,,,,0.5370967741935485,14,13,1,3,0,0
3,washingtondc,38.885349600000005,-77.03862779999999,0,1984,1984-04-03,94,10.71290322580645,2.267741935483871,6.335483870967742,9.880645161290321,-1.358064516129033,4.064516129032259,-1.5387096774193554,59.5032258064516,5.408774193548386,38.70967741935484,13.57516129032258,,3.8000000000000003,,25.33548387096774,200.08064516129033,1016.1483870967741,68.43548387096776,18.077419354838714,,,,,0.5003225806451613,17,12,0,2,0,0
4,washingtondc,38.885349600000005,-77.03862779999999,0,1985,1985-04-07,97,15.203225806451615,5.709677419354839,10.374193548387094,14.829032258064519,2.948387096774193,8.92258064516129,-0.1548387096774198,51.95161290322581,1.5768064516129032,38.70967741935484,10.618387096774194,,,,29.129032258064512,217.78064516129032,1015.3451612903224,64.1258064516129,19.70322580645161,,,,,0.4803225806451612,12,12,4,3,0,0
5,washingtondc,38.885349600000005,-77.03862779999999,0,1986,1986-04-02,92,15.51935483870968,3.8516129032258077,9.687096774193549,14.774193548387098,0.5161290322580645,7.867741935483872,0.22580645161290294,54.92903225806451,0.6095483870967742,16.129032258064516,4.57,,,,28.845161290322586,235.08709677419355,1019.7548387096773,50.800000000000004,18.99677419354839,,,,,0.513225806451613,13,5,10,2,0,1
6,washingtondc,38.885349600000005,-77.03862779999999,0,1987,1987-03-28,87,12.716129032258063,2.541935483870968,7.53225806451613,11.732258064516127,-1.0903225806451613,5.425806451612903,-1.445161290322581,56.125806451612895,1.0796774193548386,22.580645161290324,6.854838709677419,,4.783333333333333,,25.37741935483871,166.78387096774196,1020.0612903225808,59.425806451612914,18.619354838709683,,,,,0.5145161290322581,17,7,5,2,0,0
7,washingtondc,38.885349600000005,-77.03862779999999,0,1988,1988-03-31,91,13.75483870967742,2.9999999999999996,8.274193548387096,12.73225806451613,-0.21935483870967692,6.283870967741935,-0.21612903225806454,58.02580645161291,1.986193548387097,29.032258064516128,6.451290322580645,,1.1,,26.725806451612904,229.3870967741935,1018.3838709677419,52.32258064516129,18.638709677419357,,,,,0.4912903225806452,17,9,4,1,0,0
8,washingtondc,38.885349600000005,-77.03862779999999,0,1989,1989-03-29,88,11.548387096774196,2.47741935483871,6.87741935483871,9.390322580645162,-1.4806451612903229,3.874193548387096,0.3645161290322583,66.42903225806451,3.3328387096774197,41.935483870967744,11.021290322580644,,1.375,,28.26774193548387,149.95806451612899,1021.674193548387,68.69032258064514,15.283870967741935,,,,,0.5212903225806451,15,12,2,1,1,0
9,washingtondc,38.885349600000005,-77.03862779999999,0,1990,1990-03-15,74,14.064516129032256,2.829032258064516,8.306451612903228,13.103225806451615,-0.9322580645161298,5.999999999999999,0.2225806451612901,60.10645161290322,0.4799677419354839,38.70967741935484,6.585806451612904,,,,26.90967741935484,210.1677419354838,1024.109677419355,65.29032258064517,18.219354838709677,,,,,0.5061290322580646,14,12,3,2,0,0
10,washingtondc,38.885349600000005,-77.03862779999999,0,1991,1991-03-29,88,13.725806451612904,4.7064516129032254,9.03225806451613,12.941935483870967,1.796774193548387,7.312903225806452,1.5838709677419358,63.448387096774205,3.8954838709677424,48.38709677419355,11.424838709677418,,1.0,,28.54193548387096,232.116129032258,1012.9806451612906,67.71612903225805,17.461290322580645,,,,,0.5058064516129033,13,15,2,1,0,0
11,washingtondc,38.885349600000005,-77.03862779999999,0,1992,1992-04-07,98,11.5,2.0193548387096776,6.474193548387097,10.12258064516129,-1.654838709677419,3.7838709677419358,-2.483870967741936,56.57096774193548,2.8129032258064512,41.935483870967744,9.408709677419358,,,,29.296774193548387,247.37419354838707,1013.4645161290323,60.73225806451612,19.080645161290327,,,,,0.4870967741935483,15,13,3,0,0,0
12,washingtondc,38.885349600000005,-77.03862779999999,0,1993,1993-04-11,101,11.038709677419355,3.2387096774193544,6.97741935483871,9.75806451612903,-0.4806451612903229,4.599999999999999,1.4677419354838712,71.03870967741935,6.936161290322581,51.61290322580645,16.935483870967737,,6.028571428571429,,26.064516129032253,179.4870967741936,1018.9870967741933,76.1,15.870967741935486,,,,,0.5029032258064516,9,15,2,4,1,0
13,washingtondc,38.885349600000005,-77.03862779999999,0,1994,1994-04-05,95,14.17741935483871,3.441935483870967,8.461290322580647,13.341935483870968,-0.2161290322580643,6.354838709677419,0.8225806451612906,62.65806451612904,6.9833225806451615,54.83870967741935,17.07,,0.75,,28.067741935483873,245.21612903225807,1015.5193548387098,60.89677419354839,17.516129032258068,,,,,0.502258064516129,11,17,3,0,0,0
14,washingtondc,38.885349600000005,-77.03862779999999,0,1995,1995-04-02,92,15.03225806451613,4.319354838709677,9.435483870967742,14.59032258064516,0.9129032258064516,7.735483870967743,0.5225806451612905,58.06451612903226,1.8653225806451614,38.70967741935484,4.973548387096775,,1.0,,26.516129032258064,216.60967741935482,1019.2677419354839,50.554838709677426,18.645161290322584,,,,,0.46645161290322584,9,12,7,3,0,0
15,washingtondc,38.885349600000005,-77.03862779999999,0,1996,1996-04-04,95,12.23225806451613,2.8193548387096774,7.464516129032258,11.09032258064516,-1.3322580645161295,4.97741935483871,-0.9419354838709683,59.30322580645162,3.724322580645161,51.61290322580645,13.979032258064516,,3.4,,29.270967741935493,173.34516129032258,1016.3838709677419,64.07096774193549,18.212903225806453,,,,,0.4741935483870968,11,15,2,2,1,0
16,washingtondc,38.885349600000005,-77.03862779999999,0,1997,1997-03-26,85,13.01935483870968,2.85483870967742,7.961290322580645,12.506451612903227,0.035483870967741984,5.996774193548387,-0.006451612903225755,61.30322580645162,4.287677419354839,51.61290322580645,14.785161290322582,,,,28.23548387096774,215.91935483870964,1020.1483870967741,68.42903225806451,14.490322580645161,,,,,0.4970967741935483,10,16,2,2,0,1
17,washingtondc,38.885349600000005,-77.03862779999999,0,1998,1998-03-27,86,10.822580645161292,2.5774193548387094,6.680645161290323,9.429032258064519,-0.974193548387097,4.2774193548387105,-0.17741935483870944,64.73870967741937,4.392129032258064,41.935483870967744,17.20451612903226,,,,26.89354838709677,209.69032258064513,1016.9354838709677,73.87096774193549,13.390322580645162,,,,,0.5390322580645162,17,13,0,1,0,0
18,washingtondc,38.885349600000005,-77.03862779999999,0,1999,1999-04-05,95,13.087096774193547,3.296774193548387,8.019354838709678,11.990322580645161,-0.30645161290322503,5.70967741935484,-0.8387096774193546,57.36451612903226,5.03125806451613,45.16129032258065,15.725806451612902,,9.700000000000001,,29.164516129032258,225.02903225806455,1018.341935483871,61.467741935483865,13.245161290322583,,,,,0.5241935483870968,13,13,1,2,1,1
19,washingtondc,38.885349600000005,-77.03862779999999,0,2000,2000-03-17,77,15.867741935483874,4.8677419354838705,10.02258064516129,15.522580645161291,2.3096774193548386,8.564516129032258,0.6741935483870968,55.98709677419354,1.770225806451613,32.25806451612903,8.46774193548387,,3.4,,28.206451612903226,232.80645161290323,1020.4645161290323,63.55483870967741,14.577419354838709,,,,,0.5074193548387096,19,10,1,1,0,0
20,washingtondc,38.885349600000005,-77.03862779999999,0,2001,2001-04-06,96,12.200000000000003,3.209677419354838,7.393548387096776,11.474193548387099,-0.2935483870967742,5.258064516129031,-1.048387096774193,58.62258064516131,3.199129032258065,45.16129032258065,11.96225806451613,,,,29.70967741935484,199.16451612903228,1016.3612903225809,63.76451612903226,14.638709677419355,,,,,0.5103225806451613,14,14,2,1,0,0
21,washingtondc,38.885349600000005,-77.03862779999999,0,2002,2002-04-02,92,14.345161290322586,4.1354838709677395,9.106451612903225,13.70645161290323,0.8161290322580645,7.280645161290323,1.4967741935483876,63.17741935483871,2.224032258064516,41.935483870967744,14.381290322580645,,,,28.816129032258065,185.54838709677426,1020.1193548387096,72.9225806451613,14.035483870967742,,,,,0.5061290322580646,14,13,1,2,0,1
22,washingtondc,38.885349600000005,-77.03862779999999,0,2003,2003-04-02,92,14.3741935483871,3.161290322580644,8.438709677419356,13.729032258064517,-0.06129032258064512,6.606451612903225,2.0225806451612898,66.8258064516129,3.322225806451613,45.16129032258065,14.918709677419354,,3.4,,27.07741935483871,172.0677419354839,1016.6967741935484,67.07096774193548,13.999999999999996,,,,,0.47935483870967743,15,14,1,1,0,0
23,washingtondc,38.885349600000005,-77.03862779999999,0,2004,2004-03-31,91,14.041935483870972,4.43548387096774,9.074193548387097,13.293548387096777,1.4387096774193548,7.332258064516129,1.1096774193548389,60.42258064516129,1.7538709677419357,48.38709677419355,10.349354838709678,,,,26.9,208.79032258064512,1021.416129032258,71.30000000000001,14.57741935483871,,,,,0.4829032258064516,15,15,1,0,0,0
24,washingtondc,38.885349600000005,-77.03862779999999,0,2005,2005-04-09,99,13.341935483870971,4.867741935483871,8.916129032258063,12.745161290322583,2.0870967741935487,7.196774193548386,0.9838709677419354,60.84838709677419,5.027129032258064,51.61290322580645,13.979354838709682,,,55.629999999999995,25.419354838709673,188.40967741935486,1013.4354838709679,74.87419354838711,13.667741935483871,,,,,0.4712903225806452,11,16,1,3,0,0
25,washingtondc,38.885349600000005,-77.03862779999999,0,2006,2006-03-30,89,13.18709677419355,3.5774193548387085,8.258064516129032,12.067741935483873,0.22903225806451583,6.035483870967741,-2.938709677419355,47.73870967741936,0.05187096774193549,22.580645161290324,2.285483870967742,,,58.870000000000005,27.625806451612906,241.46129032258065,1017.1548387096776,63.603225806451604,15.235483870967744,,,,,0.4596774193548387,16,7,4,4,0,0
