location,lat,long,alt,year,bloom_date,bloom_doy,month,tempmax,tempmin,temp,dew,humidity,precip,snow,windspeed,moonphase,solarradiation,daytime
liestal,47.4814,7.730519,350,2023,,,,43.85555555555555,34.10666666666667,38.677777777777756,33.080000000000005,81.21444444444447,0.05989999999999998,0.08666666666666667,11.83,0.47822222222222227,39.435555555555574,33152.955555555556
liestal,47.4814,7.730519,350,2024,,,,41.1032967032967,31.97472527472527,36.22197802197802,30.645054945054937,81.11978021978021,0.08228571428571431,0.0,10.942857142857143,0.494835164835165,0.0,33203.681318681316
liestal,47.4814,7.730519,350,2025,,,,41.05,31.973333333333326,36.19444444444444,30.663333333333327,81.2411111111111,0.08236666666666669,0.0,10.932222222222222,0.487888888888889,0.0,33200.24444444444
liestal,47.4814,7.730519,350,2026,,,,41.05,31.973333333333326,36.19444444444444,30.663333333333327,81.2411111111111,0.08236666666666669,0.0,10.932222222222222,0.49188888888888893,0.0,33178.13333333333
liestal,47.4814,7.730519,350,2027,,,,41.05,31.973333333333326,36.19444444444444,30.663333333333327,81.2411111111111,0.08236666666666669,0.0,10.932222222222222,0.4861111111111113,0.0,33156.444444444445
liestal,47.4814,7.730519,350,2028,,,,41.1032967032967,31.97472527472527,36.22197802197802,30.645054945054937,81.11978021978021,0.08228571428571431,0.0,10.942857142857143,0.4641758241758241,0.0,33207.63736263736
liestal,47.4814,7.730519,350,2029,,,,41.05,31.973333333333326,36.19444444444444,30.663333333333327,81.2411111111111,0.08236666666666669,0.0,10.932222222222222,0.47299999999999986,0.0,33204.7
liestal,47.4814,7.730519,350,2030,,,,41.05,31.973333333333326,36.19444444444444,30.663333333333327,81.2411111111111,0.08236666666666669,0.0,10.932222222222222,0.4773333333333333,0.0,33182.87777777778
liestal,47.4814,7.730519,350,2031,,,,41.05,31.973333333333326,36.19444444444444,30.663333333333327,81.2411111111111,0.08236666666666669,0.0,10.932222222222222,0.4712222222222223,0.0,33161.12222222222
liestal,47.4814,7.730519,350,2032,,,,41.1032967032967,31.97472527472527,36.22197802197802,30.645054945054937,81.11978021978021,0.08228571428571431,0.0,10.942857142857143,0.4873626373626373,0.0,33212.1978021978
